"strataID","BpS","SCLASS","YEAR","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Na0210290_fdw","Na0210290","A",2002,"fdw","Na0210290_fdw","A",7396.190515,57447.29724,5318.46170180624,4278.7453586108,6358.17798755437,1038.01252744563
"2002_Na0210290_fdw","Na0210290","B",2002,"fdw","Na0210290_fdw","B",1070.66330347417,57447.29724,627.849669052168,272.1378428556,983.561495248736,87.1018082254318
"2002_Na0210290_fdw","Na0210290","C",2002,"fdw","Na0210290_fdw","C",10755.269891289,57447.29724,12167.1766455524,10755.269891289,13579.0844913145,0
"2002_Na0210290_fdw","Na0210290","D",2002,"fdw","Na0210290_fdw","D",35539.642100264,57447.29724,37295.9545356014,35539.642100264,39052.2669709389,0
"2002_Na0210290_fdw","Na0210290","E",2002,"fdw","Na0210290_fdw","E",2685.53142997283,57447.29724,2037.85405606747,1390.17656726751,2685.53142997283,0
"2002_Na0210290_fwo","Na0210290","A",2002,"fwo","Na0210290_fwo","A",23892.33964,216308.93843,20025.8473430371,16110.9557942607,23940.7386755047,0
"2002_Na0210290_fwo","Na0210290","B",2002,"fwo","Na0210290_fwo","B",7988.29268400278,216308.93843,2364.07110397073,1024.6930790982,3703.44912884326,4284.84355515952
"2002_Na0210290_fwo","Na0210290","C",2002,"fwo","Na0210290_fwo","C",40497.3101344266,216308.93843,45813.6272781375,40497.3101344266,51129.9485317181,0
"2002_Na0210290_fwo","Na0210290","D",2002,"fwo","Na0210290_fwo","D",133819.041525551,216308.93843,140432.165148271,133819.041525551,147045.288770991,0
"2002_Na0210290_fwo","Na0210290","E",2002,"fwo","Na0210290_fwo","E",10111.9544460195,216308.93843,7673.22517718544,5234.49547573347,10111.9544460195,0
"2002_Na0210350_fvg","Na0210350","A",2002,"fvg","Na0210350_fvg","A",5941.19627875355,93108.557885,4707.26031112189,3473.3241572731,5941.19627875355,0
"2002_Na0210350_fvg","Na0210350","B",2002,"fvg","Na0210350_fvg","B",11198.8956692714,93108.557885,9481.12778440652,7763.35896845604,11198.8956692714,0
"2002_Na0210350_fvg","Na0210350","C",2002,"fvg","Na0210350_fvg","C",6729.0924410376,93108.557885,8373.48882700941,6729.0924410376,10017.8843750042,0
"2002_Na0210350_fvg","Na0210350","D",2002,"fvg","Na0210350_fvg","D",36832.21507394,93108.557885,40922.1780297226,37865.654052496,43978.7020069492,-1033.43897855596
"2002_Na0210350_fvg","Na0210350","E",2002,"fvg","Na0210350_fvg","E",32407.1584219974,93108.557885,29624.5038638252,26841.8510747156,32407.1584219974,0
"2002_Na0710270_fdd","Na0710270","A",2002,"fdd","Na0710270_fdd","A",102809.49051231,1403267.971,126668.321246755,102809.49051231,150527.153384467,0
"2002_Na0710270_fdd","Na0710270","B",2002,"fdd","Na0710270_fdd","B",216048.660764177,1403267.971,88517.081336826,66538.0641665293,110496.091490783,105552.569273394
"2002_Na0710270_fdd","Na0710270","C",2002,"fdd","Na0710270_fdd","C",249311.717732421,1403267.971,281363.059824046,249311.717732421,313414.401915672,0
"2002_Na0710270_fdd","Na0710270","D",2002,"fdd","Na0710270_fdd","D",554930.270048274,1403267.971,593265.868497696,554930.270048274,631601.415026204,0
"2002_Na0710270_fdd","Na0710270","E",2002,"fdd","Na0710270_fdd","E",280167.831942819,1403267.971,313453.640094677,280167.831942819,346739.473505358,0
"2002_Na0710411_fmt","Na0710411","A",2002,"fmt","Na0710411_fmt","A",7503.98895555555,503602.80254,4626.61204060785,1749.23512566014,7503.98895555555,0
"2002_Na0710411_fmt","Na0710411","B",2002,"fmt","Na0710411_fmt","B",31045.1195166986,503602.80254,24210.3270300086,17375.5350469214,31045.1195166985,7.27595761418343e-12
"2002_Na0710411_fmt","Na0710411","C",2002,"fmt","Na0710411_fmt","C",28816.618697534,503602.80254,22250.3975854386,15684.1789913572,28816.618697534,0
"2002_Na0710411_fmt","Na0710411","D",2002,"fmt","Na0710411_fmt","D",15560.755755,503602.80254,17439.8350527498,11553.7849217929,23325.8877017206,0
"2002_Na0710411_fmt","Na0710411","E",2002,"fmt","Na0710411_fmt","E",420676.319615212,503602.80254,435075.636874429,424103.16469643,446048.108548825,-3426.84508121829
"2002_Na0710412_fmc","Na0710412","A",2002,"fmc","Na0710412_fmc","A",105208.744277382,833037.183225,122881.628119501,105208.744277382,140554.511961619,0
"2002_Na0710412_fmc","Na0710412","B",2002,"fmc","Na0710412_fmc","B",209171.3933,833037.183225,189026.45320623,167992.092724139,210060.797860614,0
"2002_Na0710412_fmc","Na0710412","C",2002,"fmc","Na0710412_fmc","C",113859.206482101,833037.183225,132810.568317021,113859.206482101,151761.922654606,0
"2002_Na0710412_fmc","Na0710412","D",2002,"fmc","Na0710412_fmc","D",29240.2640636094,833037.183225,41038.3047838008,29240.2640636094,52836.3463370294,0
"2002_Na0710412_fmc","Na0710412","E",2002,"fmc","Na0710412_fmc","E",375557.575101908,833037.183225,347280.224633262,324726.216062565,369834.265692409,5723.30940949859
"2002_Na0710412_fmh","Na0710412","A",2002,"fmh","Na0710412_fmh","A",179344.668445298,1420041.44669,209470.847736826,179344.668445298,239597.027028354,0
"2002_Na0710412_fmh","Na0710412","B",2002,"fmh","Na0710412_fmh","B",358081.30212391,1420041.44669,322224.990047237,286368.650989776,358081.30212391,0
"2002_Na0710412_fmh","Na0710412","C",2002,"fmh","Na0710412_fmh","C",162107.677109956,1420041.44669,226396.270618432,194090.726737881,258701.80171861,-31983.0496279249
"2002_Na0710412_fmh","Na0710412","D",2002,"fmh","Na0710412_fmh","D",90067.7703242256,1420041.44669,69956.1734678938,49844.5780316033,90067.7703242256,0
"2002_Na0710412_fmh","Na0710412","E",2002,"fmh","Na0710412_fmh","E",630440.028686611,1420041.44669,591993.157719404,553546.342133814,630440.028686611,0
"2002_Na0710412_fmi","Na0710412","A",2002,"fmi","Na0710412_fmi","A",13597.476505968,107664.08824,15881.5701379796,13597.476505968,18165.6637699912,0
"2002_Na0710412_fmi","Na0710412","B",2002,"fmi","Na0710412_fmi","B",27284.2682921935,107664.08824,24430.3149337248,21711.7745268626,27148.8532949693,135.414997224285
"2002_Na0710412_fmi","Na0710412","C",2002,"fmi","Na0710412_fmi","C",14715.4867759538,107664.08824,17164.814529805,14715.4867759538,19614.1413146794,0
"2002_Na0710412_fmi","Na0710412","D",2002,"fmi","Na0710412_fmi","D",4268.427235,107664.08824,5303.90690408086,3779.0946595178,6828.71925630801,0
"2002_Na0710412_fmi","Na0710412","E",2002,"fmi","Na0710412_fmi","E",47798.4294308847,107664.08824,44883.4811960894,41968.5371601935,47798.4294308847,0
"2002_Na1010471_frn","Na1010471","A",2002,"frn","Na1010471_frn","A",69108.0685823192,685999.617,82914.8954398386,69108.0685823192,96721.7291573543,0
"2002_Na1010471_frn","Na1010471","B",2002,"frn","Na1010471_frn","B",259323.001411544,685999.617,239589.548090915,219856.094084287,259323.001411544,0
"2002_Na1010471_frn","Na1010471","C",2002,"frn","Na1010471_frn","C",60716.8307152257,685999.617,33972.0428490909,24387.5731321899,43556.5132519914,17160.3174632343
"2002_Na1010471_frn","Na1010471","D",2002,"frn","Na1010471_frn","D",51718.2012412447,685999.617,64087.837635161,51718.2012412447,76457.4733430778,0
"2002_Na1010471_frn","Na1010471","E",2002,"frn","Na1010471_frn","E",245133.515049667,685999.617,265435.302588989,245133.515049667,285737.064746325,0
"2002_R1RFWF_fcw","R1RFWF","A",2002,"fcw","R1RFWF_fcw","A",22146.4190122181,149554.85523,25313.4274728498,22146.4190122181,28480.4374290302,0
"2002_R1RFWF_fcw","R1RFWF","B",2002,"fcw","R1RFWF_fcw","B",41604.2120252224,149554.85523,37633.375530481,33662.5361941974,41604.2120252224,0
"2002_R1RFWF_fcw","R1RFWF","C",2002,"fcw","R1RFWF_fcw","C",10313.6257055932,149554.85523,13121.2143666255,10313.6257055932,15928.8037754321,0
"2002_R1RFWF_fcw","R1RFWF","D",2002,"fcw","R1RFWF_fcw","D",21579.9316918162,149554.85523,24826.7910789718,21579.9316918162,28073.6548032182,0
"2002_R1RFWF_fcw","R1RFWF","E",2002,"fcw","R1RFWF_fcw","E",53910.6667951501,149554.85523,48660.0452855233,44748.5300232186,52571.5632398154,1339.1035553347
"2002_R1RFWF_frm","R1RFWF","A",2002,"frm","R1RFWF_frm","A",563.084182096118,3802.50971,643.607013699841,563.084182096118,724.12988332866,0
"2002_R1RFWF_frm","R1RFWF","B",2002,"frm","R1RFWF_frm","B",1057.80865462048,3802.50971,956.848078617409,855.887430366656,1057.80865462048,0
"2002_R1RFWF_frm","R1RFWF","C",2002,"frm","R1RFWF_frm","C",262.229279220064,3802.50971,333.613676128093,262.229279220064,404.99809204867,0
"2002_R1RFWF_frm","R1RFWF","D",2002,"frm","R1RFWF_frm","D",548.680948358857,3802.50971,631.234031156981,548.680948358857,713.787224227888,0
"2002_R1RFWF_frm","R1RFWF","E",2002,"frm","R1RFWF_frm","E",1370.70664570448,3802.50971,1237.20687237258,1137.754569451,1336.65924373933,34.0474019651506
"2002_RaABAMlw_fsi","RaABAMlw","A",2002,"fsi","RaABAMlw_fsi","A",254823.276149582,2302986.736655,302943.886926699,254823.276149582,351064.497703816,0
"2002_RaABAMlw_fsi","RaABAMlw","B",2002,"fsi","RaABAMlw_fsi","B",542598.464936741,2302986.736655,479553.562790497,416508.614584519,542598.464936741,0
"2002_RaABAMlw_fsi","RaABAMlw","C",2002,"fsi","RaABAMlw_fsi","C",164386.07401088,2302986.736655,68230.926585928,46258.0932837148,90203.7529791809,74182.3210316989
"2002_RaABAMlw_fsi","RaABAMlw","D",2002,"fsi","RaABAMlw_fsi","D",134724.91984819,2302986.736655,176839.507031156,134724.91984819,218954.085002175,0
"2002_RaABAMlw_fsi","RaABAMlw","E",2002,"fsi","RaABAMlw_fsi","E",1206454.00170961,2302986.736655,1275418.85332072,1206454.00170961,1344383.70493183,0
"2002_RaABAMlw_fsw","RaABAMlw","A",2002,"fsw","RaABAMlw_fsw","A",33792.9233781996,305406.380095,40174.3502928616,33792.9233781996,46555.7772075236,0
"2002_RaABAMlw_fsw","RaABAMlw","B",2002,"fsw","RaABAMlw_fsw","B",71955.704470155,305406.380095,63595.1199120807,55234.5292458788,71955.704470155,0
"2002_RaABAMlw_fsw","RaABAMlw","C",2002,"fsw","RaABAMlw_fsw","C",21799.7589836803,305406.380095,9048.31971781244,6134.43255882396,11962.2059605818,9837.55302309856
"2002_RaABAMlw_fsw","RaABAMlw","D",2002,"fsw","RaABAMlw_fsw","D",17866.2991950998,305406.380095,23451.2482597334,17866.2991950998,29036.1961027415,0
"2002_RaABAMlw_fsw","RaABAMlw","E",2002,"fsw","RaABAMlw_fsw","E",159991.694067865,305406.380095,169137.341912512,159991.694067865,178282.989757159,0
"2002_RaABAMlw_fwc","RaABAMlw","A",2002,"fwc","RaABAMlw_fwc","A",42247.7429595115,381817.52138,50225.7708142864,42247.7429595115,58203.7986690612,0
"2002_RaABAMlw_fwc","RaABAMlw","B",2002,"fwc","RaABAMlw_fwc","B",89958.6600692503,381817.52138,79506.2992762019,69053.930846803,89958.6600692503,0
"2002_RaABAMlw_fwc","RaABAMlw","C",2002,"fwc","RaABAMlw_fwc","C",27253.949112789,381817.52138,11312.1638331009,7669.23675253398,14955.0897682153,12298.8593445737
"2002_RaABAMlw_fwc","RaABAMlw","D",2002,"fwc","RaABAMlw_fwc","D",22336.3574552193,381817.52138,29318.6327050967,22336.3574552193,36300.9064277039,0
"2002_RaABAMlw_fwc","RaABAMlw","E",2002,"fwc","RaABAMlw_fwc","E",200020.81178323,381817.52138,211454.654751314,200020.81178323,222888.497719399,0
"2002_RaABAMup_fsi","RaABAMup","A",2002,"fsi","RaABAMup_fsi","A",4205.90257817606,49085.467635,5177.60551470039,4205.90257817606,6149.30840213925,0
"2002_RaABAMup_fsi","RaABAMup","B",2002,"fsi","RaABAMup_fsi","B",13935.0306767385,49085.467635,12637.8133384133,11340.5950674643,13935.0306767385,0
"2002_RaABAMup_fsi","RaABAMup","C",2002,"fsi","RaABAMup_fsi","C",1568.05725388958,49085.467635,1139.25313699741,710.449020105246,1568.05725388958,0
"2002_RaABAMup_fsi","RaABAMup","D",2002,"fsi","RaABAMup_fsi","D",2067.96716822341,49085.467635,1343.47214521254,858.348589892668,1828.59584778882,239.371320434597
"2002_RaABAMup_fsi","RaABAMup","E",2002,"fsi","RaABAMup_fsi","E",27308.5099579725,49085.467635,28787.3242850438,27308.5099579725,30266.1386121151,0
"2002_RaABAMup_fst","RaABAMup","A",2002,"fst","RaABAMup_fst","A",125643.929128674,1466341.86174,154671.842310565,125643.929128674,183699.754026114,0
"2002_RaABAMup_fst","RaABAMup","B",2002,"fst","RaABAMup_fst","B",427197.293275282,1466341.86174,377532.406877957,338780.296606725,416284.489288694,10912.8039865885
"2002_RaABAMup_fst","RaABAMup","C",2002,"fst","RaABAMup_fst","C",72065.3675043133,1466341.86174,34033.1802137453,21223.4127330523,46842.9476944384,25222.419809875
"2002_RaABAMup_fst","RaABAMup","D",2002,"fst","RaABAMup_fst","D",25641.6517956867,1466341.86174,40133.8632699936,25641.6517956867,54626.0791433262,0
"2002_RaABAMup_fst","RaABAMup","E",2002,"fst","RaABAMup_fst","E",815793.620036044,1466341.86174,859970.592529209,815793.620036044,904147.565022374,0
"2002_RaABAMup_fsw","RaABAMup","A",2002,"fsw","RaABAMup_fsw","A",43.7144187897218,510.17413,53.8138988221024,43.7144187897218,63.9133783443089,0
"2002_RaABAMup_fsw","RaABAMup","B",2002,"fsw","RaABAMup_fsw","B",144.834968363613,510.17413,131.35222573351,117.869473410099,144.834968363613,0
"2002_RaABAMup_fsw","RaABAMup","C",2002,"fsw","RaABAMup_fsw","C",28.8700183456045,510.17413,11.8409277943395,7.38411444781882,16.2977411408602,12.5722772047443
"2002_RaABAMup_fsw","RaABAMup","D",2002,"fsw","RaABAMup_fsw","D",8.92132164944421,510.17413,13.9634960383737,8.92132164944421,19.0056719578255,0
"2002_RaABAMup_fsw","RaABAMup","E",2002,"fsw","RaABAMup_fsw","E",283.833402851617,510.17413,299.20358977446,283.833402851617,314.573776697304,0
"2002_RaABLA_faf","RaABLA","A",2002,"faf","RaABLA_faf","A",22199.2759038078,171601.76116,26188.6892630158,22199.2759038078,30178.1024506219,0
"2002_RaABLA_faf","RaABLA","B",2002,"faf","RaABLA_faf","B",46507.4518229932,171601.76116,36310.5559955902,31853.7373629717,40767.3746282088,5740.07719478438
"2002_RaABLA_faf","RaABLA","C",2002,"faf","RaABLA_faf","C",2471.24468454441,171601.76116,1502.97110788992,534.697531235428,2471.24468454441,0
"2002_RaABLA_faf","RaABLA","D",2002,"faf","RaABLA_faf","D",2747.14651094274,171601.76116,4473.59956884241,2747.14651094274,6200.05296994559,0
"2002_RaABLA_faf","RaABLA","E",2002,"faf","RaABLA_faf","E",97676.6422377118,171601.76116,103125.94608267,97676.6422377118,108575.243406762,0
"2002_RaDFHEdy_fdg","RaDFHEdy","A",2002,"fdg","RaDFHEdy_fdg","A",114580.019653901,1480643.6394,83516.2774894454,62399.8339199418,104632.728462167,9947.29119173359
"2002_RaDFHEdy_fdg","RaDFHEdy","B",2002,"fdg","RaDFHEdy_fdg","B",282776.310191476,1480643.6394,251566.095354993,220355.853866925,282776.310191476,0
"2002_RaDFHEdy_fdg","RaDFHEdy","C",2002,"fdg","RaDFHEdy_fdg","C",107246.104463087,1480643.6394,86875.0687241842,66504.0255820638,107246.104463087,0
"2002_RaDFHEdy_fdg","RaDFHEdy","D",2002,"fdg","RaDFHEdy_fdg","D",191643.883143249,1480643.6394,226859.127976036,191643.883143249,262074.387615259,0
"2002_RaDFHEdy_fdg","RaDFHEdy","E",2002,"fdg","RaDFHEdy_fdg","E",784397.321948288,1480643.6394,831827.069855341,784397.321948288,879256.816281751,0
"2002_RaDFHEdy_fwi","RaDFHEdy","A",2002,"fwi","RaDFHEdy_fwi","A",458764.753151003,5928320.79961,334389.228962151,249841.503705582,418936.983860325,39827.7692906771
"2002_RaDFHEdy_fwi","RaDFHEdy","B",2002,"fwi","RaDFHEdy_fwi","B",1132202.66966089,5928320.79961,1007240.68633694,882278.596303213,1132202.66966089,0
"2002_RaDFHEdy_fwi","RaDFHEdy","C",2002,"fwi","RaDFHEdy_fwi","C",429400.630136299,5928320.79961,347837.42906148,266274.198345058,429400.630136299,0
"2002_RaDFHEdy_fwi","RaDFHEdy","D",2002,"fwi","RaDFHEdy_fwi","D",767319.284886498,5928320.79961,908316.931349335,767319.284886498,1049314.63709538,0
"2002_RaDFHEdy_fwi","RaDFHEdy","E",2002,"fwi","RaDFHEdy_fwi","E",3140633.46177531,5928320.79961,3330536.52390009,3140633.46177531,3520439.58009656,0
"2002_RaDFHEdy_fwx","RaDFHEdy","A",2002,"fwx","RaDFHEdy_fwx","A",4669.09663734667,110789.849965,6249.14436294776,4669.09663734667,7829.1926424981,0
"2002_RaDFHEdy_fwx","RaDFHEdy","B",2002,"fwx","RaDFHEdy_fwx","B",21158.8691202329,110789.849965,18823.5502581531,16488.2294018559,21158.8691202329,0
"2002_RaDFHEdy_fwx","RaDFHEdy","C",2002,"fwx","RaDFHEdy_fwx","C",11929.1464207854,110789.849965,6500.46748152832,4976.1946900951,8024.73971901228,3904.40670177315
"2002_RaDFHEdy_fwx","RaDFHEdy","D",2002,"fwx","RaDFHEdy_fwx","D",14339.8428191367,110789.849965,16974.8399161331,14339.8428191367,19609.838121028,0
"2002_RaDFHEdy_fwx","RaDFHEdy","E",2002,"fwx","RaDFHEdy_fwx","E",58692.8949674983,110789.849965,62241.8479462377,58692.8949674983,65790.8008141873,0
"2002_RaDFHEwt_fdm","RaDFHEwt","A",2002,"fdm","RaDFHEwt_fdm","A",8590.72541444284,143058.69728,6626.81576124169,4662.90653721664,8590.72541444284,0
"2002_RaDFHEwt_fdm","RaDFHEwt","B",2002,"fdm","RaDFHEwt_fdm","B",27606.1199312247,143058.69728,24324.1478402735,21042.1744617941,27606.1199312247,0
"2002_RaDFHEwt_fdm","RaDFHEwt","C",2002,"fdm","RaDFHEwt_fdm","C",1621.36690420127,143058.69728,865.747889153284,110.128731046603,1621.36690420127,2.27373675443232e-13
"2002_RaDFHEwt_fdm","RaDFHEwt","D",2002,"fdm","RaDFHEwt_fdm","D",5437.11296,143058.69728,4974.18809968689,3263.49849219533,6684.87756411976,0
"2002_RaDFHEwt_fdm","RaDFHEwt","E",2002,"fdm","RaDFHEwt_fdm","E",99803.3720701312,143058.69728,106267.796831292,102226.785907135,110308.818627911,-2423.41383700358
"2002_RaDFHEwt_fhc","RaDFHEwt","A",2002,"fhc","RaDFHEwt_fhc","A",8176.59001264533,136162.22833,6307.35507829332,4438.12055242799,8176.59001264533,0
"2002_RaDFHEwt_fhc","RaDFHEwt","B",2002,"fhc","RaDFHEwt_fhc","B",26275.3043110948,136162.22833,23151.5471280825,20027.7887196101,26275.3043110948,0
"2002_RaDFHEwt_fhc","RaDFHEwt","C",2002,"fhc","RaDFHEwt_fhc","C",1543.20523543186,136162.22833,824.012548697976,104.819725801859,1543.20523543187,0
"2002_RaDFHEwt_fhc","RaDFHEwt","D",2002,"fhc","RaDFHEwt_fhc","D",4893.57958,136162.22833,4734.39608121347,3106.17414598137,6362.61788028333,0
"2002_RaDFHEwt_fhc","RaDFHEwt","E",2002,"fhc","RaDFHEwt_fhc","E",95273.5491908281,136162.22833,101144.916676739,97298.711848925,104991.131852883,-2025.16265809696
"2002_RaDFHEwt_fwc","RaDFHEwt","A",2002,"fwc","RaDFHEwt_fwc","A",21.9420981990747,365.394985,16.9259562103897,11.9098153178896,21.9420981990747,0
"2002_RaDFHEwt_fwc","RaDFHEwt","B",2002,"fwc","RaDFHEwt_fwc","B",70.5104825499363,365.394985,62.1277965214428,53.7451072043945,70.5104825499363,0
"2002_RaDFHEwt_fwc","RaDFHEwt","C",2002,"fwc","RaDFHEwt_fwc","C",4.14123256330633,365.394985,2.21125973453955,0.281286540377775,4.14123256330633,0
"2002_RaDFHEwt_fwc","RaDFHEwt","D",2002,"fwc","RaDFHEwt_fwc","D",7.6974736019474,365.394985,12.7048786311461,8.33550147789544,17.0742554190018,-0.638027875948036
"2002_RaDFHEwt_fwc","RaDFHEwt","E",2002,"fwc","RaDFHEwt_fwc","E",261.103698085735,365.394985,271.425091710112,261.103698085735,281.746513104507,0
"2002_RaDFHEwt_fwm","RaDFHEwt","A",2002,"fwm","RaDFHEwt_fwm","A",132336.854127757,2203764.762615,102083.573670343,71830.2998242231,132336.854127757,0
"2002_RaDFHEwt_fwm","RaDFHEwt","B",2002,"fwm","RaDFHEwt_fwm","B",425261.766629144,2203764.762615,374704.236164792,324146.685866557,425261.766629144,0
"2002_RaDFHEwt_fwm","RaDFHEwt","C",2002,"fwm","RaDFHEwt_fwm","C",24976.5398307486,2203764.762615,13336.5166026229,1696.49117073247,24976.5398307486,0
"2002_RaDFHEwt_fwm","RaDFHEwt","D",2002,"fwm","RaDFHEwt_fwm","D",46424.8875367871,2203764.762615,76625.4737749618,50272.9517092612,102977.993636898,-3848.06417247412
"2002_RaDFHEwt_fwm","RaDFHEwt","E",2002,"fwm","RaDFHEwt_fwm","E",1574764.71449056,2203764.762615,1637014.94917969,1574764.71449056,1699265.35135494,0
"2002_RaDFHEwt_fwn","RaDFHEwt","A",2002,"fwn","RaDFHEwt_fwn","A",180074.432868004,2998723.91873,138907.953910402,97741.4839489725,180074.432868004,0
"2002_RaDFHEwt_fwn","RaDFHEwt","B",2002,"fwn","RaDFHEwt_fwn","B",578665.496855925,2998723.91873,509870.460993988,441075.398143535,578665.496855925,0
"2002_RaDFHEwt_fwn","RaDFHEwt","C",2002,"fwn","RaDFHEwt_fwn","C",33986.2714333921,2998723.91873,18147.3685428066,2308.46265349713,33986.2714333921,1.45519152283669e-11
"2002_RaDFHEwt_fwn","RaDFHEwt","D",2002,"fwn","RaDFHEwt_fwn","D",127377.18104,2998723.91873,104266.410322461,68407.8016461401,140125.016000058,0
"2002_RaDFHEwt_fwn","RaDFHEwt","E",2002,"fwn","RaDFHEwt_fwn","E",2078620.53653268,2998723.91873,2227531.706968,2142826.0837202,2312237.55811882,-64205.5471875197
"2002_RaDFHEwt_fww","RaDFHEwt","A",2002,"fww","RaDFHEwt_fww","A",55418.9156977405,922874.088265,42749.7011369127,30080.4893447071,55418.9156977405,0
"2002_RaDFHEwt_fww","RaDFHEwt","B",2002,"fww","RaDFHEwt_fww","B",178087.549002342,922874.088265,156915.491247478,135743.425186748,178087.549002342,0
"2002_RaDFHEwt_fww","RaDFHEwt","C",2002,"fww","RaDFHEwt_fww","C",10459.4654635303,922874.088265,5584.95435133104,710.442316257721,10459.4654635303,0
"2002_RaDFHEwt_fww","RaDFHEwt","D",2002,"fww","RaDFHEwt_fww","D",43124.2588143759,922874.088265,32088.571996237,21052.884255224,43124.2588143759,0
"2002_RaDFHEwt_fww","RaDFHEwt","E",2002,"fww","RaDFHEwt_fww","E",635783.899287011,922874.088265,685535.363995797,659466.733823653,711604.06430637,-23682.8345366422
"2002_RaDFWV_fwx","RaDFWV","A",2002,"fwx","RaDFWV_fwx","A",182908.451637777,1274809.283075,158087.032728283,133265.626566882,182908.451637777,0
"2002_RaDFWV_fwx","RaDFWV","B",2002,"fwx","RaDFWV_fwx","B",236333.458653066,1274809.283075,207246.085523581,178158.686897911,236333.458653066,0
"2002_RaDFWV_fwx","RaDFWV","C",2002,"fwx","RaDFWV_fwx","C",84500.3993285942,1274809.283075,107246.570229073,84500.3993285942,129992.746228788,0
"2002_RaDFWV_fwx","RaDFWV","D",2002,"fwx","RaDFWV_fwx","D",336843.572034915,1274809.283075,405198.760381175,368953.617409694,441443.903352655,-32110.0453747793
"2002_RaDFWV_fwx","RaDFWV","E",2002,"fwx","RaDFWV_fwx","E",434223.401420648,1274809.283075,397030.822739605,359838.267005129,434223.401420648,0
"2002_RaMCONdy_fdd","RaMCONdy","A",2002,"fdd","RaMCONdy_fdd","A",495620.772925588,4248197.74101,593302.795222123,495620.772925588,690984.813270461,0
"2002_RaMCONdy_fdd","RaMCONdy","B",2002,"fdd","RaMCONdy_fdd","B",470447.98799908,4248197.74101,27878.6914704346,7704.37423977932,48053.0087010899,422394.97929799
"2002_RaMCONdy_fdd","RaMCONdy","C",2002,"fdd","RaMCONdy_fdd","C",1221642.39315154,4248197.74101,1343007.90544432,1221642.39315154,1464373.42198529,0
"2002_RaMCONdy_fdd","RaMCONdy","D",2002,"fdd","RaMCONdy_fdd","D",1624697.4139998,4248197.74101,1760929.69395254,1624697.4139998,1897161.96965708,0
"2002_RaMCONdy_fdd","RaMCONdy","E",2002,"fdd","RaMCONdy_fdd","E",435789.172933994,4248197.74101,523078.629431403,435789.172933994,610368.090177009,0
"2002_RaMCONdy_fdg","RaMCONdy","A",2002,"fdg","RaMCONdy_fdg","A",122431.267933061,1049415.73129,146561.277200905,122431.267933061,170691.285419333,0
"2002_RaMCONdy_fdg","RaMCONdy","B",2002,"fdg","RaMCONdy_fdg","B",85997.0122538257,1049415.73129,6886.76450119734,1903.18154188549,11870.3474605092,74126.6647933164
