"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","stratID"
"RaMCONdy_fmd",1,"B","C","Thin / low fire","None",1,0,0,37375.2051472042,"RaMCONdy_fmd WEC"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,503922.186116278,"RaMCONdy_fmd WEC"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,28616.8639949483,"RaMCONdy_fmd WNE"
"RaMCONdy_fmd",13,"B","E","Grow w/o fire","None",0,0,1,5891.10938291502,"RaMCONdy_fmd WNE"
"RaMCONdy_fmx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,221829.048439724,"RaMCONdy_fmx OEC"
"RaMCONdy_fmx",13,"B","E","Grow w/o fire","None",0,0,1,7976.98533533814,"RaMCONdy_fmx OEC"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,66073.6780529878,"RaMCONms_fcm OBM"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,68407.6656902138,"RaMCONms_fcm OBM"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,100056.282153176,"RaMCONms_fcm OBM"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,262562.045355581,"RaMCONms_fcm OBM"
"RaMCONms_fcm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,30.6615283496061,"RaMCONms_fcm OEC"
"RaMCONms_fcm",6,"B","A","Regen / high fire","None",1,0,0,8.2308771223226,"RaMCONms_fcm OEC"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,30.6347433101949,"RaMCONms_fcm OEC"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,50.2813537376414,"RaMCONms_fcm OEC"
"RaMCONms_fcm",1,"B","C","Thin / low fire","None",1,0,0,11.5214809226878,"RaMCONms_fcm WCB"
"RaMCONms_fcm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,38.5994359121715,"RaMCONms_fcm WCB"
"RaMCONms_fcm",6,"B","A","Regen / high fire","None",1,0,0,59.087948077235,"RaMCONms_fcm WCB"
"RaMCONms_fcm",13,"B","E","Grow w/o fire","None",0,0,1,30.8790974577235,"RaMCONms_fcm WCB"
"RaMCONms_fcm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6644.26621678394,"RaMCONms_fcm WNE"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,9572.49115040099,"RaMCONms_fcm WNE"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,474.592207978632,"RaMCONms_fcm WNE"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,10335.7430404361,"RaMCONms_fcm WNE"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,47028.3718325192,"RaMCONms_fmm OEC"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,45106.1528001355,"RaMCONms_fmm OEC"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,15271.5866699929,"RaMCONms_fmm OEC"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,33001.5789416908,"RaMCONms_fmm OEC"
"RaMCONms_fmm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,92.1449121249434,"RaMCONms_fmm WCB"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,741.476003658636,"RaMCONms_fmm WCB"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,617.246244487537,"RaMCONms_fmm WCB"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,1257.35058861041,"RaMCONms_fmm WCB"
"RaMCONms_fmm",2,"E","D","Thin / low fire","None",1,0,0,1289.18606423025,"RaMCONms_fmm WEC"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,41884.9115305283,"RaMCONms_fmm WEC"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,52595.818472069,"RaMCONms_fmm WEC"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,628.478231034101,"RaMCONms_fmm WNE"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,746.313893429226,"RaMCONms_fmm WNE"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,1527.15332757767,"RaMCONms_fmm WNE"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,984.034973450485,"RaMCONms_fmm WNE"
"RaMCONsw_fdm",1,"B","C","Thin / low fire","None",1,0,0,8294.06054762711,"RaMCONsw_fdm OSW"
"RaMCONsw_fdm",2,"E","D","Thin / low fire","None",1,0,0,4065.52905093137,"RaMCONsw_fdm OSW"
"RaMCONsw_fdm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,115702.533806975,"RaMCONsw_fdm OSW"
"RaMCONsw_fdm",6,"B","A","Regen / high fire","None",1,0,0,6302.56810947834,"RaMCONsw_fdm OSW"
"RaMCONsw_fiw",1,"B","C","Thin / low fire","None",1,0,0,96.8109913208132,"RaMCONsw_fiw OEC"
"RaMCONsw_fiw",2,"E","D","Thin / low fire","None",1,0,0,98.0079474049411,"RaMCONsw_fiw OEC"
"RaMCONsw_fiw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,532.229299756578,"RaMCONsw_fiw OEC"
"RaMCONsw_fiw",6,"B","A","Regen / high fire","None",1,0,0,131.780584800384,"RaMCONsw_fiw OEC"
"RaMCONsw_fiw",2,"E","D","Thin / low fire","None",1,0,0,108806.850855344,"RaMCONsw_fiw OSW"
"RaMCONsw_fiw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,404240.248227692,"RaMCONsw_fiw OSW"
"RaMCONsw_fiw",6,"B","A","Regen / high fire","None",1,0,0,74069.3451431935,"RaMCONsw_fiw OSW"
"RaMCONsw_fvw",1,"B","C","Thin / low fire","None",1,0,0,1467.24906890381,"RaMCONsw_fvw OSW"
"RaMCONsw_fvw",2,"E","D","Thin / low fire","None",1,0,0,4503.08572779272,"RaMCONsw_fvw OSW"
"RaMCONsw_fvw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,46713.9087542659,"RaMCONsw_fvw OSW"
"RaMCONsw_fvw",6,"B","A","Regen / high fire","None",1,0,0,3672.72147766709,"RaMCONsw_fvw OSW"
"RaMEVG_ftd",1,"B","C","Thin / low fire","None",1,0,0,125506.082007106,"RaMEVG_ftd OSW"
"RaMEVG_ftd",2,"E","D","Thin / low fire","None",1,0,0,54614.5409001465,"RaMEVG_ftd OSW"
"RaMEVG_ftd",5,"E","C","Overstory removal","None",1,0,0,46048.8311174028,"RaMEVG_ftd OSW"
"RaMEVG_ftd",9,"E","A","Regen / high fire","None",1,0,0,9072.71797993358,"RaMEVG_ftd OSW"
"RaMEVG_fuc",1,"B","C","Thin / low fire","None",1,0,0,5603.02083574207,"RaMEVG_fuc OSW"
"RaMEVG_fuc",2,"E","D","Thin / low fire","None",1,0,0,4572.29710223548,"RaMEVG_fuc OSW"
"RaMEVG_fuc",5,"E","C","Overstory removal","None",1,0,0,5704.76817680151,"RaMEVG_fuc OSW"
"RaMEVG_fuc",10,"A","C","Grow w/ fire","None",0,0,1,22126.0771929573,"RaMEVG_fuc OSW"
"RaOAPI_fop",1,"B","C","Thin / low fire","None",1,0,0,7252.45589123077,"RaOAPI_fop OEC"
"RaOAPI_fop",2,"E","D","Thin / low fire","None",1,0,0,24861.7592719318,"RaOAPI_fop OEC"
"RaOAPI_fop",6,"B","A","Regen / high fire","None",1,0,0,7331.84614105361,"RaOAPI_fop OEC"
"RaOAPI_fop",1,"B","C","Thin / low fire","None",1,0,0,214.306118759705,"RaOAPI_fop WEC"
"RaOAPI_fop",2,"E","D","Thin / low fire","None",1,0,0,1783.17148993478,"RaOAPI_fop WEC"
"RaOAPI_fop",6,"B","A","Regen / high fire","None",1,0,0,773.390561893436,"RaOAPI_fop WEC"
"RaOAPI_fop",9,"E","A","Regen / high fire","None",1,0,0,134.934046315906,"RaOAPI_fop WEC"
"RaPICOpu_fld",1,"B","A","Regen / high fire","None",1,0,0,14451.0415003141,"RaPICOpu_fld OEC"
"RaPICOpu_fld",6,"E","C","Overstory removal","None",1,0,0,1230.28947195389,"RaPICOpu_fld OEC"
"RaPICOpu_fld",7,"B","C","Thin / low fire","None",1,0,0,5890.32552959185,"RaPICOpu_fld OEC"
"RaPICOpu_fld",15,"B","D","Regen / high fire","Grow w/o fire",0,1,0,18731.4739959998,"RaPICOpu_fld OEC"
"RaPICOpu_flp",1,"B","A","Regen / high fire","None",1,0,0,4590.81986174768,"RaPICOpu_flp OSW"
"RaPICOpu_flp",6,"E","C","Overstory removal","None",1,0,0,3554.24234857707,"RaPICOpu_flp OSW"
"RaPICOpu_flp",7,"B","C","Thin / low fire","None",1,0,0,6629.83466135879,"RaPICOpu_flp OSW"
"RaPICOpu_flp",8,"E","D","Thin / low fire","None",1,0,0,2.27373675443232e-13,"RaPICOpu_flp OSW"
"RaPICOpu_flp",15,"B","D","Regen / high fire","Grow w/o fire",0,1,0,2179.28955141422,"RaPICOpu_flp OSW"
"RaPICOpu_flw",1,"B","A","Regen / high fire","None",1,0,0,4868.43633238376,"RaPICOpu_flw OEC"
"RaPICOpu_flw",6,"E","C","Overstory removal","None",1,0,0,4350.3539597244,"RaPICOpu_flw OEC"
"RaPICOpu_flw",7,"B","C","Thin / low fire","None",1,0,0,4205.99828553049,"RaPICOpu_flw OEC"
"RaPICOpu_flw",15,"B","D","Regen / high fire","Grow w/o fire",0,1,0,2983.80454079729,"RaPICOpu_flw OEC"
"RaPIJEsp_fjp",1,"B","C","Thin / low fire","None",1,0,0,8778.85736275406,"RaPIJEsp_fjp OSW"
"RaPIJEsp_fjp",2,"E","D","Thin / low fire","None",1,0,0,13240.99042757,"RaPIJEsp_fjp OSW"
"RaPIJEsp_fjp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8291.3774050527,"RaPIJEsp_fjp OSW"
"RaPIJEsp_fjp",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,6418.4403707773,"RaPIJEsp_fjp OSW"
"RaPIPOm_fdp",1,"B","C","Thin / low fire","None",1,0,0,139878.892943644,"RaPIPOm_fdp OBM"
"RaPIPOm_fdp",2,"E","D","Thin / low fire","None",1,0,0,210668.715477391,"RaPIPOm_fdp OBM"
"RaPIPOm_fdp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,91245.6845173911,"RaPIPOm_fdp OBM"
"RaPIPOm_fdp",1,"B","C","Thin / low fire","None",1,0,0,6496.6062835503,"RaPIPOm_fdp OEC"
"RaPIPOm_fdp",2,"E","D","Thin / low fire","None",1,0,0,3397.4230108366,"RaPIPOm_fdp OEC"
"RaPIPOm_fdp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6853.70475675044,"RaPIPOm_fdp OEC"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,1328.96570312224,"RaPIPOm_fpd OBM"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,1554.02158312673,"RaPIPOm_fpd OBM"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,563.030423532196,"RaPIPOm_fpd OBM"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1203.43373159584,"RaPIPOm_fpd OBM"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,20.7407880318328,"RaPIPOm_fpd OEC"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,3.19184675196847,"RaPIPOm_fpd OEC"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,18.6154906791207,"RaPIPOm_fpd OEC"
"RaPIPOm_fpd",6,"B","A","Regen / high fire","None",1,0,0,3.50826430615573,"RaPIPOm_fpd OEC"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,14714.0831246387,"RaPIPOm_fpd OSW"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,12460.3754500101,"RaPIPOm_fpd OSW"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,13207.8601451994,"RaPIPOm_fpd OSW"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,7505.19285063456,"RaPIPOm_fpd WCB"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,2438.84021997558,"RaPIPOm_fpd WCB"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,18203.8497967141,"RaPIPOm_fpd WCB"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,4414.6932255065,"RaPIPOm_fpd WCB"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,37401.0113752726,"RaPIPOm_fpd WEC"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,32883.0900528227,"RaPIPOm_fpd WEC"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2453.45659379517,"RaPIPOm_fpd WEC"
"RaPIPOm_fpd",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,8937.8098864419,"RaPIPOm_fpd WEC"
"RaPIPOm_fpd",1,"B","C","Thin / low fire","None",1,0,0,65197.2359613269,"RaPIPOm_fpd WNE"
"RaPIPOm_fpd",2,"E","D","Thin / low fire","None",1,0,0,56540.6119442559,"RaPIPOm_fpd WNE"
"RaPIPOm_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,39374.9288866841,"RaPIPOm_fpd WNE"
"RaPIPOm_fpl",1,"B","C","Thin / low fire","None",1,0,0,140796.890377744,"RaPIPOm_fpl OEC"
"RaPIPOm_fpl",2,"E","D","Thin / low fire","None",1,0,0,134633.619595455,"RaPIPOm_fpl OEC"
"RaPIPOm_fpl",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,179550.99130729,"RaPIPOm_fpl OEC"
"RaPIPOxe_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2.98182219184661,"RaPIPOxe_fpd OBM"
"RaPIPOxe_fpd",11,"C","D","Grow w/ fire","None",0,0,1,0.396663451790074,"RaPIPOxe_fpd OBM"
"RaPIPOxe_fpd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,5.7948624543603,"RaPIPOxe_fpd OBM"
"RaPIPOxe_fpd",1,"B","C","Thin / low fire","None",1,0,0,4693.32324425134,"RaPIPOxe_fpd OEC"
"RaPIPOxe_fpd",2,"E","D","Thin / low fire","None",1,0,0,39324.3271804272,"RaPIPOxe_fpd OEC"
"RaPIPOxe_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,219702.330372517,"RaPIPOxe_fpd OEC"
"RaPIPOxe_fpd",6,"B","A","Regen / high fire","None",1,0,0,58347.8136006623,"RaPIPOxe_fpd OEC"
"RaPIPOxe_fpd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,261.726821882987,"RaPIPOxe_fpd OSE"
"RaPIPOxe_fpd",7,"C","A","Regen / high fire","None",1,0,0,289.248918452716,"RaPIPOxe_fpd OSE"
"RaPIPOxe_fpd",11,"C","D","Grow w/ fire","None",0,0,1,413.770944025959,"RaPIPOxe_fpd OSE"
"RaPIPOxe_fxp",2,"E","D","Thin / low fire","None",1,0,0,19886.7448870721,"RaPIPOxe_fxp OBM"
"RaPIPOxe_fxp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,184390.789113222,"RaPIPOxe_fxp OBM"
"RaPIPOxe_fxp",6,"B","A","Regen / high fire","None",1,0,0,8739.72333278771,"RaPIPOxe_fxp OBM"
"RaPIPOxe_fxp",7,"C","A","Regen / high fire","None",1,0,0,8876.39938029353,"RaPIPOxe_fxp OBM"
"RaPIPOxe_fxp",2,"E","D","Thin / low fire","None",1,0,0,22215.4254633452,"RaPIPOxe_fxp OEC"
"RaPIPOxe_fxp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,170541.241679304,"RaPIPOxe_fxp OEC"
"RaPIPOxe_fxp",7,"C","A","Regen / high fire","None",1,0,0,13325.7595418371,"RaPIPOxe_fxp OEC"
"RaPIPOxe_fxp",11,"C","D","Grow w/ fire","None",0,0,1,9540.68999346383,"RaPIPOxe_fxp OEC"
"RaPIPOxe_fxp",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3534.61642057372,"RaPIPOxe_fxp OSE"
"RaPIPOxe_fxp",11,"C","D","Grow w/ fire","None",0,0,1,4475.65374185335,"RaPIPOxe_fxp OSE"
"RaPIPOxe_fxp",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,4929.16107144485,"RaPIPOxe_fxp OSE"
"RaREFI_fcw",1,"B","C","Thin / low fire","None",1,0,0,621.791824854353,"RaREFI_fcw OEC"
"RaREFI_fcw",2,"E","D","Thin / low fire","None",1,0,0,441.724132043117,"RaREFI_fcw OEC"
"RaREFI_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3577.83162775506,"RaREFI_fcw OEC"
"RaREFI_fcw",6,"B","A","Regen / high fire","None",1,0,0,903.606837611297,"RaREFI_fcw OEC"
"RaREFI_fcw",1,"B","C","Thin / low fire","None",1,0,0,2147.02882491402,"RaREFI_fcw OSW"
"RaREFI_fcw",2,"E","D","Thin / low fire","None",1,0,0,5634.62346493579,"RaREFI_fcw OSW"
"RaREFI_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,33184.6374178293,"RaREFI_fcw OSW"
"RaREFI_frf",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,11018.7703253055,"RaREFI_frf OEC"
"RaREFI_frf",6,"B","A","Regen / high fire","None",1,0,0,1012.47354451644,"RaREFI_frf OEC"
"RaREFI_frf",13,"B","E","Grow w/o fire","None",0,0,1,9787.42215972432,"RaREFI_frf OEC"
"RaREFI_frm",1,"B","C","Thin / low fire","None",1,0,0,2997.82549145548,"RaREFI_frm OEC"
"RaREFI_frm",2,"E","D","Thin / low fire","None",1,0,0,6067.60840161664,"RaREFI_frm OEC"
"RaREFI_frm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,382.275240897998,"RaREFI_frm OEC"
"RaREFI_frm",6,"B","A","Regen / high fire","None",1,0,0,1716.57686723233,"RaREFI_frm OEC"
"RaREFI_frm",1,"B","C","Thin / low fire","None",1,0,0,3134.89085189183,"RaREFI_frm OSW"
"RaREFI_frm",2,"E","D","Thin / low fire","None",1,0,0,3131.36512549456,"RaREFI_frm OSW"
"RaREFI_frm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,7027.57203173254,"RaREFI_frm OSW"
"RaREFI_frm",6,"B","A","Regen / high fire","None",1,0,0,1582.68100020706,"RaREFI_frm OSW"
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,24709.890295135,"RaSAWD_fal OEC"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,534.941129079165,"RaSAWD_fal OEC"
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,11333.4770507675,"RaSAWD_fal OSW"
"RaSAWD_fal",2,"B","A","Regen / high fire","None",1,0,0,2028.23595301003,"RaSAWD_fal OSW"
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,60785.2887185655,"RaSAWD_fal WEC"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,64200.7603081804,"RaSAWD_fal WEC"
"RaSAWD_fal",1,"B","C","Thin / low fire","None",1,0,0,6799.49576868021,"RaSAWD_fal WNE"
"RaSAWD_fal",3,"A","C","Grow w/ fire","None",0,0,1,63522.0126659107,"RaSAWD_fal WNE"
"RaSAWD_fsw",1,"B","C","Thin / low fire","None",1,0,0,14936.4162176425,"RaSAWD_fsw OBM"
"RaSAWD_fsw",3,"A","C","Grow w/ fire","None",0,0,1,4348.53624541549,"RaSAWD_fsw OBM"
"RaSAWD_fsw",1,"B","C","Thin / low fire","None",1,0,0,7.05948595058305,"RaSAWD_fsw OEC"
"RaSAWD_fsw",3,"A","C","Grow w/ fire","None",0,0,1,7.27386690428061,"RaSAWD_fsw OEC"
"RaSPFI_fcd",1,"A","B","Regen / high fire","None",1,0,0,14680.1710632676,"RaSPFI_fcd OBM"
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,59093.9227016726,"RaSPFI_fcd OBM"
"RaSPFI_fcd",8,"E","B","Regen / high fire","None",1,0,0,1172.5320376372,"RaSPFI_fcd OBM"
"RaSPFI_fcd",9,"E","D","Overstory removal","None",1,0,0,22932.0561676413,"RaSPFI_fcd OBM"
"RaSPFI_fcd",3,"C","A","Regen / high fire","None",1,0,0,5.37525567888355,"RaSPFI_fcd OEC"
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,68.9928094622852,"RaSPFI_fcd OEC"
"RaSPFI_fcd",13,"C","D","Grow w/o fire","None",0,0,1,56.1589602426317,"RaSPFI_fcd OEC"
"RaSPFI_fcd",3,"C","A","Regen / high fire","None",1,0,0,1.4673549643709,"RaSPFI_fcd WCB"
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,9.41142798396602,"RaSPFI_fcd WCB"
"RaSPFI_fcd",9,"E","D","Overstory removal","None",1,0,0,13.0915868191764,"RaSPFI_fcd WCB"
"RaSPFI_fcd",1,"A","B","Regen / high fire","None",1,0,0,51410.4610698233,"RaSPFI_fcd WNE"
"RaSPFI_fcd",4,"C","B","Regen / high fire","None",1,0,0,92033.4512892158,"RaSPFI_fcd WNE"
"RaSPFI_fcd",13,"C","D","Grow w/o fire","None",0,0,1,68627.5814602073,"RaSPFI_fcd WNE"
"RaSPFI_fmz",4,"C","B","Regen / high fire","None",1,0,0,33863.4329176829,"RaSPFI_fmz OEC"
"RaSPFI_fmz",14,"C","E","Grow w/o fire","None",0,0,1,3872.88792355958,"RaSPFI_fmz OEC"
"RaSSHE_fss",7,"A","C","Grow w/o fire","None",0,0,1,2.99308181940581,"RaSSHE_fss OSW"
"RaSSHE_fss",8,"B","E","Grow w/o fire","None",0,0,1,14240.8942785396,"RaSSHE_fss OSW"
"RaSSHE_fss",18,"A","D","Grow w/o fire","Thin / low fire",0,1,0,873.2527928718,"RaSSHE_fss OSW"
"RaSSHE_fss",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,3351.277227192,"RaSSHE_fss OSW"
"RaSSHE_fss",7,"A","C","Grow w/o fire","None",0,0,1,0.78158159247314,"RaSSHE_fss ZoneNull"
"RaSSHE_fss",8,"B","E","Grow w/o fire","None",0,0,1,4197.28250970388,"RaSSHE_fss ZoneNull"
"RaSSHE_fss",10,"D","E","Grow w/o fire","None",0,0,1,453.775520717886,"RaSSHE_fss ZoneNull"
"RaSSHE_fss",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,76.7674742795541,"RaSSHE_fss ZoneNull"
"RaTAOAco_ftm",1,"B","C","Thin / low fire","None",1,0,0,161139.822249464,"RaTAOAco_ftm OSW"
"RaTAOAco_ftm",2,"E","D","Thin / low fire","None",1,0,0,114311.618071808,"RaTAOAco_ftm OSW"
"RaTAOAco_ftm",5,"E","C","Overstory removal","None",1,0,0,57575.8300242797,"RaTAOAco_ftm OSW"
"RaTAOAco_fto",1,"B","C","Thin / low fire","None",1,0,0,3377.82281774437,"RaTAOAco_fto OSW"
"RaTAOAco_fto",2,"E","D","Thin / low fire","None",1,0,0,3827.40805890342,"RaTAOAco_fto OSW"
"RaTAOAco_fto",5,"E","C","Overstory removal","None",1,0,0,2571.07933653144,"RaTAOAco_fto OSW"
"RaTAOAco_fto",10,"A","C","Grow w/ fire","None",0,0,1,3697.1692622369,"RaTAOAco_fto OSW"
